boon,stat,contrib
Air Elemental,obp,0.6834
Air Elemental,avg,0.544
Air Elemental,era,0.0
Air Elemental,fip,0.0
Air Elemental,whip,0.0
Air Elemental,ops,-2.2036
Air Elemental,slg,-5.0846
Amphibian,era,0.0
Amphibian,fip,0.0
Amphibian,whip,0.0
Amphibian,obp,-1.7936
Amphibian,avg,-1.8089
Amphibian,ops,-4.2467
Amphibian,slg,-6.6945
Angelic,avg,3.9743
Angelic,obp,2.0053
Angelic,era,0.0
Angelic,fip,0.0
Angelic,whip,0.0
Angelic,ops,-3.6386
Angelic,slg,-10.5247
Archer's Mark,slg,4.1457
Archer's Mark,ops,2.2457
Archer's Mark,obp,0.3416
Archer's Mark,era,0.0
Archer's Mark,fip,0.0
Archer's Mark,whip,0.0
Archer's Mark,avg,-1.044
Calculated,avg,2.7765
Calculated,obp,1.5812
Calculated,era,0.0
Calculated,fip,0.0
Calculated,whip,0.0
Calculated,ops,-1.8043
Calculated,slg,-5.9351
Clean,avg,3.8327
Clean,obp,2.5254
Clean,ops,1.3058
Clean,era,0.0
Clean,fip,0.0
Clean,whip,0.0
Clean,slg,-0.3797
Demonic,slg,10.5247
Demonic,ops,3.6386
Demonic,era,0.0
Demonic,fip,0.0
Demonic,whip,0.0
Demonic,obp,-2.0053
Demonic,avg,-3.9743
Draconic,slg,0.5855
Draconic,era,0.0
Draconic,fip,0.0
Draconic,whip,0.0
Draconic,ops,-2.8077
Draconic,obp,-4.7163
Draconic,avg,-6.7325
Earth Elemental,slg,0.2715
Earth Elemental,era,0.0
Earth Elemental,fip,0.0
Earth Elemental,whip,0.0
Earth Elemental,ops,-0.2468
Earth Elemental,avg,-0.6043
Earth Elemental,obp,-1.1167
Fae,avg,0.0689
Fae,era,0.0
Fae,fip,0.0
Fae,whip,0.0
Fae,obp,-0.7737
Fae,ops,-6.4463
Fae,slg,-10.5247
Fire Elemental,era,0.0
Fire Elemental,fip,0.0
Fire Elemental,whip,0.0
Fire Elemental,avg,-0.3965
Fire Elemental,obp,-1.4683
Fire Elemental,ops,-2.3665
Fire Elemental,slg,-3.0281
Geometry Expert,era,0.0
Geometry Expert,fip,0.0
Geometry Expert,whip,0.0
Geometry Expert,avg,-1.3877
Geometry Expert,obp,-1.7077
Geometry Expert,ops,-3.637
Geometry Expert,slg,-5.7722
Giant,slg,6.6396
Giant,ops,4.3266
Giant,avg,2.966
Giant,obp,2.3594
Giant,era,0.0
Giant,fip,0.0
Giant,whip,0.0
Insectoid,slg,7.2216
Insectoid,ops,3.5242
Insectoid,obp,0.5729
Insectoid,avg,0.0109
Insectoid,era,0.0
Insectoid,fip,0.0
Insectoid,whip,0.0
Mer,era,0.0
Mer,fip,0.0
Mer,whip,0.0
Mer,avg,-1.0825
Mer,obp,-1.3301
Mer,ops,-2.5456
Mer,slg,-3.6154
One With All,slg,2.331
One With All,ops,1.2718
One With All,era,0.0
One With All,fip,0.0
One With All,whip,0.0
One With All,obp,-0.2845
One With All,avg,-0.7856
Psychic,era,0.0
Psychic,fip,0.0
Psychic,whip,0.0
Psychic,obp,-2.8997
Psychic,ops,-4.1678
Psychic,avg,-4.2044
Psychic,slg,-5.4332
Scooter,era,0.0
Scooter,fip,0.0
Scooter,whip,0.0
Scooter,obp,-1.8804
Scooter,avg,-2.4312
Scooter,ops,-3.8326
Scooter,slg,-5.0283
Shiny,slg,2.5478
Shiny,ops,1.7987
Shiny,obp,0.0966
Shiny,era,0.0
Shiny,fip,0.0
Shiny,whip,0.0
Shiny,avg,-1.0664
Soul in the Machine,avg,3.9054
Soul in the Machine,ops,2.8077
Soul in the Machine,obp,2.779
Soul in the Machine,era,0.0
Soul in the Machine,fip,0.0
Soul in the Machine,slg,0.0
Soul in the Machine,whip,0.0
Spectral,avg,1.733
Spectral,obp,0.7384
Spectral,era,0.0
Spectral,fip,0.0
Spectral,whip,0.0
Spectral,ops,-3.4198
Spectral,slg,-7.3593
Stormrider,slg,0.3513
Stormrider,era,0.0
Stormrider,fip,0.0
Stormrider,ops,0.0
Stormrider,whip,0.0
Stormrider,obp,-0.211
Stormrider,avg,-0.2379
Tenacious Badger,slg,4.1467
Tenacious Badger,ops,2.4479
Tenacious Badger,avg,1.84
Tenacious Badger,obp,1.0301
Tenacious Badger,era,0.0
Tenacious Badger,fip,0.0
Tenacious Badger,whip,0.0
The Light,avg,4.1642
The Light,obp,3.2889
The Light,ops,1.8327
The Light,era,0.0
The Light,fip,0.0
The Light,whip,0.0
The Light,slg,-0.1629
UFO,slg,2.6823
UFO,era,0.0
UFO,fip,0.0
UFO,whip,0.0
UFO,ops,-0.4128
UFO,obp,-2.8298
UFO,avg,-4.4021
Undead,avg,1.3093
Undead,obp,0.4742
Undead,era,0.0
Undead,fip,0.0
Undead,whip,0.0
Undead,ops,-2.1197
Undead,slg,-3.885
Water Elemental,era,0.0
Water Elemental,fip,0.0
Water Elemental,whip,0.0
Water Elemental,obp,-2.3594
Water Elemental,avg,-2.966
Water Elemental,ops,-4.3266
Water Elemental,slg,-6.6396
