Name,Estimated OBPS bonus,Estimated OBP bonus,Estimated HRs_per_AB bonus,Estimated WHIP bonus,Estimated ERA bonus
Mamie Mitra,0.199,0.062,0.02,nan,nan
DVD Nygaard,0.199,0.071,0.019,nan,nan
Jared Mann,0.148,0.049,0.017,nan,nan
Rick Somersbyshire,0.188,0.078,0.017,nan,nan
Hongtao Chimera,0.133,0.037,0.022,nan,nan
Bryan Magomedov,0.169,0.058,0.022,nan,nan
Jorbit Liriano,0.161,0.057,0.016,nan,nan
Daniel Breen,0.23,0.075,0.026,nan,nan
Eggo Nawaz,0,0,0,nan,nan
Jacob Decker,nan,nan,nan,-0.486,-3.16
Lena Shimada,nan,nan,nan,-0.653,-3.291
Maggie Kurti,nan,nan,nan,-0.456,-2.9
Avery Stark,nan,nan,nan,-0.564,-3.14
Elvis Fukuda,nan,nan,nan,-0.736,-3.866
Boots May,nan,nan,nan,-0.524,-3.409
Edith Leon,nan,nan,nan,-0.555,-3.611
Bubblegum Morimoto,nan,nan,nan,-0.585,-3.005
Robin Stoica,nan,nan,nan,-0.596,-3.12
